peopleid3rog3,rog3,ctry,peopleid3,peopnameincountry,peopnameacrosscountries,naturalname,population,rog2,continent,regioncode,regionname,10_40window,peopleid1,affinitybloc,peopleid2,peoplecluster,populationpgac,jpscale,leastreached,frontier,workersneeded,rop25,rop25name,rop3,rol3,primarylanguagename,biblestatus,rlg3,primaryreligion,percentadherents,percentevangelical,indigenouscode,photoccversiontext,photoccversionurl,mapccversiontext,mapccversionurl,jf,audiorecordings,longitude,latitude
21243IN,IN,India,21243,"Sonar Bhojpuria","Sonar Bhojpuria","Bhojpuria Sonar",37000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",37000,1,Y,Y,1,307633,Sonar,118066,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,84.150774993934,25.916718218726
21244IN,IN,India,21244,"Sonar Chhatri","Sonar Chhatri","Chhatri Sonar",141000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",141000,1,Y,Y,3,307633,Sonar,118067,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.875867972154,27.957647635307
21245IN,IN,India,21245,"Sonar Choralia","Sonar Choralia","Choralia Sonar",38000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",38000,1,Y,Y,1,307633,Sonar,118068,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,83.560074494899,25.640792590408
21246IN,IN,India,21246,"Sonar Damania","Sonar Damania","Damania Sonar",6600,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",6600,1,Y,Y,1,307633,Sonar,118069,dhd,Dhundari,4,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,75.764150716188,27.002898701001
21247IN,IN,India,21247,"Sonar Deswali","Sonar Deswali","Deswali Sonar",45000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",45000,1,Y,Y,1,307633,Sonar,118070,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,77.638801988195,29.454439168615
21248IN,IN,India,21248,"Sonar Jathera","Sonar Jathera","Jathera Sonar",42000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",42000,1,Y,Y,1,307633,Sonar,118071,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,85.237789119317,25.45083142117
21249IN,IN,India,21249,"Sonar Kamila","Sonar Kamila","Kamila Sonar",16000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",16000,1,Y,Y,1,307633,Sonar,118072,ory,Odia,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,86.938887506384,21.5149727573
21250IN,IN,India,21250,"Sonar Kammakala","Sonar Kammakala","Kammakala Sonar",42000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",42000,1,Y,Y,1,307633,Sonar,118073,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,85.249321750104,25.45335286356
21251IN,IN,India,21251,"Sonar Khatri","Sonar Khatri","Khatri Sonar",52000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",52000,1,Y,Y,1,307633,Sonar,118074,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.392079816868,26.095369172878
21252IN,IN,India,21252,"Sonar Magahiya","Sonar Magahiya","Magahiya Sonar",43000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",43000,1,Y,Y,1,307633,Sonar,118075,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,85.254861548448,25.459920668553
21253IN,IN,India,21253,"Sonar Mair","Sonar Mair","Mair Sonar",92000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",92000,1,Y,Y,2,307633,Sonar,118076,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,77.665219341414,27.60421064738
21254IN,IN,India,21254,"Sonar Rastaogi","Sonar Rastaogi","Rastaogi Sonar",81000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",81000,1,Y,Y,2,307633,Sonar,118077,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.435168515448,28.459910545758
21255IN,IN,India,21255,"Sonar Tejania","Sonar Tejania","Tejania Sonar",39000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",443,"South Asia Hindu - Sonar",39000,1,Y,Y,1,307633,Sonar,118078,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,84.141575687565,25.909881443561
20438IN,IN,India,20438,Sondhia,Sondhia,Sondhia,664000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",664000,1,Y,Y,13,307650,"Sondhia / Sondhi",113660,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,76.425186511748,24.500043508815
19221ML,ML,Mali,19221,"Songhai, Humburi","Songhai, Humburi","Humburi Songhai",33000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,47000,1,Y,N,1,307652,Songhai,114970,hmb,"Songhay, Humburi Senni",1,6,Islam,0.300,0.000,Y,,,,,N,Y,-1.69309,15.28626
19221UV,UV,"Burkina Faso",19221,"Songhai, Humburi","Songhai, Humburi","Humburi Songhai",14000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,47000,1,Y,N,1,307652,Songhai,114970,hmb,"Songhay, Humburi Senni",1,6,Islam,1.000,0.017,Y,,,,,N,Y,0.16895,14.40702
19220ML,ML,Mali,19220,"Songhai, Koyra","Songhai, Koyra","Koyra Songhai",444000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,444000,1,Y,N,9,307652,Songhai,114971,khq,"Songhay, Koyra Chiini",4,6,Islam,0.200,0.000,Y,"CC BY 2.0",https://creativecommons.org/licenses/by/2.0/,,,Y,Y,-3.74399,16.16535
14989BN,BN,Benin,14989,Songhai-Koyraboro,Songhai-Koyraboro,Songhai-Koyraboro,10000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,2240000,1,Y,N,1,307652,Songhai,109404,ses,"Songhay, Koyraboro Senni",4,6,Islam,0.810,0.200,N,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,2.9371955035696,11.129345248384
14989GH,GH,Ghana,14989,Songhai-Koyraboro,Songhai-Koyraboro,Songhai-Koyraboro,11000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",288,Songhai,2240000,1,Y,N,1,307652,Songhai,109404,ses,"Songhay, Koyraboro Senni",4,6,Islam,2.000,0.500,N,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-0.20507837306849,5.5776384892249
14989ML,ML,Mali,14989,Songhai-Koyraboro,Songhai-Koyraboro,Songhai-Koyraboro,1208000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,2240000,1,Y,N,24,307652,Songhai,109404,ses,"Songhay, Koyraboro Senni",4,6,Islam,0.200,0.001,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,-0.00036,16.24874
14989NG,NG,Niger,14989,Songhai-Koyraboro,Songhai-Koyraboro,Songhai-Koyraboro,1011000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",288,Songhai,2240000,1,Y,N,20,307652,Songhai,109404,ses,"Songhay, Koyraboro Senni",4,6,Islam,0.200,0.100,Y,"CC BY-SA 4.0",https://creativecommons.org/licenses/by-sa/4.0/,,,Y,Y,2.1189426787616,13.519705743325
14996CA,CA,Canada,14996,Soninke,Soninke,Soninke,5100,NAR,"North America",12,"America, North and Caribbean",N,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,Y,1,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.000,0.000,N,,,,,Y,Y,-75.6444,45.3999
14996FR,FR,France,14996,Soninke,Soninke,Soninke,41000,EUR,Europe,10,"Europe, Western",N,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,Y,1,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.000,0.000,N,,,,,Y,Y,2.310951,48.860069
14996GA,GA,Gambia,14996,Soninke,Soninke,Soninke,158000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,N,3,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.400,0.150,Y,,,,,Y,Y,-14.06943,13.3939
14996IV,IV,"Côte d'Ivoire",14996,Soninke,Soninke,Soninke,222000,AFR,Africa,8,"Africa, West and Central",N,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,Y,4,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.000,0.000,N,,,,,Y,Y,-6.2175,8.99338
14996ML,ML,Mali,14996,Soninke,Soninke,Soninke,1996000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,Y,40,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.010,0.000,Y,,,,,Y,Y,-9.5697799999471,14.450770000435
14996MR,MR,Mauritania,14996,Soninke,Soninke,Soninke,248000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,N,5,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.150,0.120,Y,,,,,Y,Y,-12.40162,15.16309
14996PU,PU,Guinea-Bissau,14996,Soninke,Soninke,Soninke,6300,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,N,1,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.500,0.300,N,,,,,Y,Y,-15.328739999651,12.266259999699
14996SG,SG,Senegal,14996,Soninke,Soninke,Soninke,392000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,N,8,307660,Soninke,109413,snk,Soninke,3,6,Islam,2.000,0.050,Y,,,,,Y,Y,-12.56653,14.67379
14996US,US,"United States",14996,Soninke,Soninke,Soninke,26000,NAR,"North America",12,"America, North and Caribbean",N,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,N,1,307660,Soninke,109413,snk,Soninke,3,6,Islam,1.000,0.500,N,,,,,Y,Y,-73.895688,40.846477
14996GV,GV,Guinea,14996,"Soninke, Sarakolé",Soninke,Soninke,13000,AFR,Africa,8,"Africa, West and Central",Y,22,"Sub-Saharan Peoples",289,Soninke,3107400,1,Y,Y,1,307660,Soninke,109413,snk,Soninke,3,6,Islam,0.000,0.000,N,,,,,Y,Y,-13.644582,9.5822
18151IN,IN,India,18151,Sonjhara,Sonjhara,Sonjhara,22000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",22000,1,Y,Y,1,303377,"Jhora / Sonjhar",113661,ory,Odia,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,83.645226710526,20.771017994885
18153IN,IN,India,18153,Sonr,Sonr,Sonr,57000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",57000,1,Y,N,1,307662,Sonr,113663,ory,Odia,5,5,Hinduism,0.423,,Y,,,,,Y,Y,78.848950562009,23.954741513983
14998MY,MY,Malaysia,14998,Sonsogon,Sonsogon,Sonsogon,5200,ASI,Asia,2,"Asia, Southeast",Y,17,"Malay Peoples",155,Borneo-Kalimantan,5200,1,Y,N,1,307663,Sonsogon,109418,kqr,Kimaragang,4,4,"Ethnic Religions",5.000,0.500,Y,,,,,N,N,116.85269850793,6.5391955975987
18154IN,IN,India,18154,Soria,Soria,Soria,1500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1500,1,Y,Y,1,307669,Soria,113664,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,77.723550330038,23.437064036088
18864IR,IR,Iran,18864,Sorkhei,Sorkhei,Sorkhei,12000,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,268,Persian,12000,1,Y,Y,1,307671,Sorkhei,114723,sqo,Sorkhei,1,6,Islam,0.000,0.000,Y,,,,,N,N,53.21897,35.45652
19463PK,PK,Pakistan,19463,Sorozai,Sorozai,Sorozai,58000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",58000,1,Y,Y,1,307672,Sorozai,115608,bcc,"Balochi, Southern",4,6,Islam,0.000,0.000,Y,,,,,Y,Y,66.668870512421,27.508434234439
18155IN,IN,India,18155,Sounti,Sounti,Sounti,135000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",135000,1,Y,Y,3,307678,Sounti,113666,ory,Odia,5,5,Hinduism,0.095,,Y,,,,,Y,Y,86.167373868998,22.117873733743
10790AE,AE,"United Arab Emirates",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",73000,ASI,Asia,6,"Africa, North and Middle East",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.000,0.300,N,,,,,Y,Y,54.457905999562,24.245943000169
10790BM,BM,"Myanmar (Burma)",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",282000,ASI,Asia,2,"Asia, Southeast",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,6,301073,Bengali,101254,ben,Bengali,5,6,Islam,0.400,0.130,N,,,,,Y,Y,92.891180593909,20.135176972339
10790CA,CA,Canada,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",75000,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,2,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.200,0.300,N,,,,,Y,Y,-79.474643884907,43.736511343723
10790FI,FI,Finland,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",1500,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,Y,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,0.000,0.000,N,,,,,Y,Y,24.72965,60.262331
10790FR,FR,France,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",32000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,Y,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,0.000,0.000,N,,,,,Y,Y,2.3154999656509,48.87500388732
10790IT,IT,Italy,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",91000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,2,301073,Bengali,101254,ben,Bengali,5,6,Islam,4.000,0.200,N,,,,,Y,Y,12.521722707037,41.929437043585
10790JA,JA,Japan,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",67000,ASI,Asia,3,"Asia, Northeast",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.000,0.200,N,,,,,Y,Y,139.674542,35.687276
10790KE,KE,Kenya,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",1600,AFR,Africa,7,"Africa, East and Southern",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,2.000,0.100,N,,,,,Y,Y,36.847897779159,-1.2885041614379
10790MP,MP,Mauritius,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",7300,AFR,Africa,7,"Africa, East and Southern",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,4.000,0.000,N,,,,,Y,Y,57.53,-20.15
10790MU,MU,Oman,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",189000,ASI,Asia,6,"Africa, North and Middle East",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,4,301073,Bengali,101254,ben,Bengali,5,6,Islam,2.000,1.200,N,,,,,Y,Y,58.430262733039,23.59255550893
10790MY,MY,Malaysia,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",87000,ASI,Asia,2,"Asia, Southeast",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,Y,2,301073,Bengali,101254,ben,Bengali,5,6,Islam,0.000,0.000,N,,,,,Y,Y,101.4406615304,3.0328085034097
10790NZ,NZ,"New Zealand",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",3700,SOP,Oceania,1,"Australia and Pacific",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.000,0.131,N,,,,,Y,Y,174.758745,-36.854065
10790SA,SA,"Saudi Arabia",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",36000,ASI,Asia,6,"Africa, North and Middle East",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,0.400,0.066,N,,,,,Y,Y,46.735593653324,24.632514669716
10790SN,SN,Singapore,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",79000,ASI,Asia,2,"Asia, Southeast",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,2,301073,Bengali,101254,ben,Bengali,5,6,Islam,2.000,0.400,N,,,,,Y,Y,103.87733,1.37319
10790TH,TH,Thailand,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",36000,ASI,Asia,2,"Asia, Southeast",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,6,Islam,3.000,1.000,N,,,,,Y,Y,102.80566549926,17.363440328009
10790TX,TX,Turkmenistan,10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",800,ASI,Asia,5,"Asia, Central",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,1,301073,Bengali,101254,ben,Bengali,5,5,Hinduism,5.000,0.000,N,,,,,Y,Y,58.4,37.95
10790UK,UK,"United Kingdom",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",352000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,7,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.000,0.131,N,,,,,Y,Y,-0.09671301899067,51.524601493864
10790US,US,"United States",10790,"South Asian, Bengali-speaking","South Asian, Bengali-speaking","Bengali-speaking South Asian",379000,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",462,"South Asia Muslim - other",1883900,1,Y,N,8,301073,Bengali,101254,ben,Bengali,5,6,Islam,1.000,0.000,N,,,,,Y,Y,-118.295045,34.096718
19211AE,AE,"United Arab Emirates",19211,"South Asian, general","South Asian, general","South Asian",3788000,ASI,Asia,6,"Africa, North and Middle East",Y,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,76,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,4.000,0.698,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,54.395439,24.435754
19211AN,AN,Andorra,19211,"South Asian, general","South Asian, general","South Asian",600,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,1.000,0.300,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,1.53237,42.480647
19211AU,AU,Austria,19211,"South Asian, general","South Asian, general","South Asian",23000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,5.000,0.600,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,16.518863,48.263024
19211BB,BB,Barbados,19211,"South Asian, general","South Asian, general","South Asian",3900,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,6,Islam,4.000,1.500,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-59.619473,13.121068
19211BE,BE,Belgium,19211,"South Asian, general","South Asian, general","South Asian",32000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,urd,Urdu,5,6,Islam,2.000,0.800,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,4.250683,50.844713
19211CG,CG,"Congo, Democratic Republic of",19211,"South Asian, general","South Asian, general","South Asian",217000,AFR,Africa,8,"Africa, West and Central",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,4,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,1.000,0.040,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,15.273815,-4.343301
19211CU,CU,Cuba,19211,"South Asian, general","South Asian, general","South Asian",34000,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,3.000,0.200,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-82.366921,23.099527
19211CY,CY,Cyprus,19211,"South Asian, general","South Asian, general","South Asian",16000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,2,Buddhism,3.000,0.400,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,33.196371408429,34.963965412242
19211DA,DA,Denmark,19211,"South Asian, general","South Asian, general","South Asian",64000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,urd,Urdu,5,6,Islam,3.000,0.500,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,12.492468,55.663255
19211DJ,DJ,Djibouti,19211,"South Asian, general","South Asian, general","South Asian",2200,AFR,Africa,7,"Africa, East and Southern",Y,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,Y,1,307681,"South Asian",115527,hin,Hindi,5,6,Islam,0.000,0.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,43.156498,11.572329
19211EG,EG,Egypt,19211,"South Asian, general","South Asian, general","South Asian",5400,AFR,Africa,6,"Africa, North and Middle East",Y,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,Y,1,307681,"South Asian",115527,urd,Urdu,5,6,Islam,0.000,0.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,31.339743,30.146264
19211EI,EI,Ireland,19211,"South Asian, general","South Asian, general","South Asian",33000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,3.000,0.500,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-6.280109,53.341195
19211EK,EK,"Equatorial Guinea",19211,"South Asian, general","South Asian, general","South Asian",1700,AFR,Africa,8,"Africa, West and Central",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,Y,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,0.000,0.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,8.76237,3.610458
19211FI,FI,Finland,19211,"South Asian, general","South Asian, general","South Asian",11000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,4.000,2.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,24.947332,60.190815
19211FR,FR,France,19211,"South Asian, general","South Asian, general","South Asian",273000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,5,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,4.000,0.200,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,2.3873,48.896639
19211GH,GH,Ghana,19211,"South Asian, general","South Asian, general","South Asian",14000,AFR,Africa,8,"Africa, West and Central",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,1.000,0.100,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-0.182642,5.554279
19211GI,GI,Gibraltar,19211,"South Asian, general","South Asian, general","South Asian",700,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,4.000,0.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-5.354269,36.140218
19211GM,GM,Germany,19211,"South Asian, general","South Asian, general","South Asian",194000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,4,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,3.000,0.200,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,7.818783,51.680951
19211GR,GR,Greece,19211,"South Asian, general","South Asian, general","South Asian",119000,EUR,Europe,9,"Europe, Eastern and Eurasia",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,2,307681,"South Asian",115527,urd,Urdu,5,6,Islam,4.000,0.700,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,23.743556,37.973537
19211HK,HK,"China, Hong Kong",19211,"South Asian, general","South Asian, general","South Asian",42000,ASI,Asia,3,"Asia, Northeast",Y,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,xxx,"Language unknown",0,5,Hinduism,2.000,0.800,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,N,N,113.997702,22.458119
19211IC,IC,Iceland,19211,"South Asian, general","South Asian, general","South Asian",600,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",468,"South Asia - other",12145500,1,Y,N,1,307681,"South Asian",115527,hin,Hindi,5,5,Hinduism,4.000,2.000,N,"CC0 1.0",https://creativecommons.org/publicdomain/zero/1.0/,,,Y,Y,-21.820935,64.120028
